Sample	in_pv_10
PJ0283-C	False
PJ0284-C	False
PJ0285-C	False
PJ0286-C	False
PJ0287-C	False
PJ0288-C	False
PJ0289-C	False
PJ0290-C	False
PJ0291-C	False
PJ0292-C	False
PJ0293-C	False
PJ0294-C	False
PJ0295-C	False
PJ0296-C	False
PJ0297-C	False
PJ0298-C	False
PJ0299-C	False
PJ0300-C	False
PJ0301-C	False
PJ0302-C	False
PJ0303-C	False
PJ0304-C	False
PJ0305-C	False
PJ0307-C	False
PJ0308-C	False
PJ0309-C	False
PJ0310-C	False
PJ0311-C	False
PJ0312-C	False
PJ0313-C	False
PJ0314-C	False
PJ0315-C	False
PJ0316-C	False
PJ0317-C	False
PJ0318-C	False
PJ0319-C	False
PJ0320-C	False
PJ0321-C	False
PJ0322-C	False
PJ0323-C	False
PJ0324-C	False
PN0017-CW	False
PN0046-C	True
PN0047-CW	False
PN0048-C	True
PN0050-C	True
PN0051-C	False
PN0065-C	True
PN0065-Cx	True
PN0066-C	False
PN0067-C	False
PN0067-Cx	True
PN0068-C	False
PN0068-Cx	True
PN0069-C	False
PN0070-C	False
PN0071-C	False
PN0071-CW	False
PN0072-C	False
PN0072-CW	False
PN0092-CW	False
PN0094-C	False
PN0095-C	True
PN0096-C	False
PNG012	False
PNG014	False
PNG025	False
PNG030	False
PNG045	False
PNG063	False
PNG070	False
PNG076	False
PNG163	False
PNG172	False
PNG175	False
PNG49	False
PNG58	False
PNG72	False
PNG73	False
PNG90	False
PNG_PVRVL1991	False
PNG_PVRVL1997	False
PNG_PVRVL2000	False
PNG_PVRVL2003	False
PNG_PVXMQ2006	False
PNG_PVXMW2006	False
PNG_PVXMZ2010	False
PNG_chesson	False
PP0031-C	False
PP0033-C	False
PP0035-C	False
PP0036-C	False
PP0039-C	False
PP0065-CW	False
PP0078-CW	False
PP0096-CW	False
PP0097-C	False
PP0131-C	False
PP0135-CW	False
PP0150-C	False
PP0151-C	False
PP0156-C	False
PQ0001-C	False
PQ0002-C	True
PQ0003-C	True
PQ0005-C	False
PQ0008-C	True
PQ0011-CW	False
PQ0012-CW	False
PQ0013-CW	False
PQ0014-CW	False
PQ0015-CW	False
PQ0016-CW	False
PR0168-CW	False
PR0169-C	False
PR0170-C	False
PR0172-C	False
PR0173-C	False
PR0174-CW	False
PR0175-C	False
PR0176-C	False
PR0177-C	False
PR0178-C	False
PR0180-C	False
PR0181-C	False
PR0184-CW	False
PR0185-CW	False
PR0187-C	False
PR0190-CW	False
PR0191-C	False
PR0192-C	False
PR0193-C	False
PR0195-C	False
PR0196-C	False
PR0198-C	False
PR0200-C	False
PR0202-C	False
PR0206-C	False
PR0207-C	False
PR0208-C	False
PR0209-C	False
PS0002-CW	True
PS0002-CWx	False
PV0053-C	True
PV0054-C	True
PV0055-CW	False
PV0056-C	True
PV0060-C	False
PV0061-C	True
PV0062-C	True
PV0063-CW	False
PV0064-C	False
PV0067-C	True
PV0071-C	True
PV0072-C	True
PV0074-C	True
PV0341-C	False
PW0018-CW	False
PW0019-CW	False
PW0020-CW	False
PW0021-C	False
PW0022-C	False
PW0023-C	False
PW0024-C	False
PW0025-C	False
PW0026-C	False
PW0027-C	False
PW0028-CW	False
PW0029-C	False
PW0030-C	False
PW0031-CW	False
PW0032-C	False
PW0033-C	False
PW0034-C	False
PW0035-C	False
PW0036-CW	False
PW0037-C	False
PW0038-C	False
PW0039-C	False
PW0040-C	False
PX0001-C	False
PX0001-CW	True
PX0002-C	False
PX0003-C	False
PY0001-C	True
PY0002-C	True
PY0004-C	True
PY0005-C	True
PY0006-C	False
PY0010-CW	False
PY0018-C	True
PY0019-C	True
PY0020-C	False
PY0021-C	False
PY0022-C	False
PY0023-C	False
PY0023-CW	False
PY0024-C	False
PY0026-C	False
PY0027-C	False
PY0029-C	False
PY0032-C	False
PY0033-C	False
PY0034-C	False
PY0035-C	False
PY0036-C	False
PY0039-C	False
PY0041-C	False
PY0042-C	False
PY0043-CX	False
PY0044-C	False
PY0044-CX	False
PY0045-C	False
PY0048-C	False
PY0050-C	False
PY0051-C	False
PY0053-C	False
PY0054-C	False
PY0055-C	False
PY0056-C	False
PY0057-C	False
PY0058-C	False
PY0059-C	False
PY0060-C	False
PY0061-C	False
PY0062-C	False
PY0064-C	False
PY0065-C	False
PY0066-C	False
PY0067-C	False
PY0068-C	False
PY0069-C	False
PY0072-C	False
PY0073-C	False
PY0074-C	False
PY0075-C	False
PY0076-C	False
PY0077-C	False
PY0077-CW	False
PY0079-C	False
PY0081-C	False
PY0082-C	False
PY0085-C	False
PY0086-C	False
PY0087-C	False
PY0088-C	False
PY0089-C	False
PY0090-C	False
PY0091-C	False
PY0092-C	False
PY0092-CW	False
PY0093-C	False
PY0094-C	False
PY0096-C	False
PY0096-CW	False
PY0097-C	False
PY0098-C	False
PY0099-C	False
PY0100-C	False
PY0100-CW	False
PY0100-Cx	False
PY0101-C	False
PY0102-C	False
PY0103-C	False
PY0105-C	False
PY0107-C	False
PY0108-C	False
PY0109-C	False
PY0109-CWx	False
PY0109-Cx	False
PY0111-Cx	False
PY0112-C	False
PY0114-C	False
PY0115-C	False
PY0115-CW	False
PY0116-C	False
PY0117-C	False
PY0118-C	False
PY0119-C	False
PY0120-C	False
PY0121-C	False
PY0124-C	False
PY0125-C	False
PY0126-C	False
PY0127-C	False
PY0130-C	False
PY0131-C	False
PY0145-C	False
PY0152-C	False
PY0180-C	False
Panama_458	False
Peru00622	False
Peru00692	False
Peru00699	False
Peru01	False
Peru02	False
Peru03	False
Peru04	False
Peru05	False
Peru06	False
Peru07	False
Peru08	False
Peru0839	False
Peru09	False
Peru10	False
Peru1008	False
Peru1021	False
Peru1022	False
Peru2025	False
Peru257	False
Peru258	False
Peru259	False
Peru260	False
Peru261	False
Peru262	False
Peru3043_D0	False
Peru3043_D106	False
Peru3043_D87	False
Peru3133	False
Peru3136	False
Peru3232	False
Peru3270_D0	False
Peru3270_D43	False
Peru3270_D59	False
Peru3280	False
Peru3323	False
Peru4017	False
Peru4023	False
Peru612	False
Peru697	False
Peru721	False
Peru791	False
Peru830	False
Peru852	False
Peru858	False
Peru869	False
Peru872	False
Peru99622	False
QC0234-C	True
QH0001-CW	False
QM0003-C	True
QN0001-C	True
QN0002-C	False
QN0003-C	False
QN0004-C	False
QN0005-C	False
QR0001-C	False
QR0002-CW	False
QR0004-C	False
QR0007-C	False
QR0008-C	False
QR0011-C	False
QR0012-C	False
QR0015-C	False
QR0018-C	False
QS0001-C	False
QS0002-C	False
QS0003-C	False
QS0004-C	False
QS0005-C	False
QS0006-C	False
QS0009-C	False
QS0011-C	False
QS0012-C	False
QS0013-C	False
QS0014-C	False
QS0015-C	False
QS0016-C	False
QS0018-C	False
QS0020-C	False
QS0023-C	False
QS0024-C	False
QS0025-C	False
QS0027-C	False
QS0028-C	False
QS0029-C	False
QS0030-C	False
QS0031-C	False
QS0032-C	False
QS0033-C	False
QS0035-C	False
QS0037-C	False
QS0039-C	False
QS0041-C	False
QS0042-C	False
QS0044-C	False
QS0045-C	False
QS0046-C	False
QS0049-C	False
QS0051-C	False
QS0053-C	False
QS0055-C	False
QS0057-C	False
QS0058-C	False
QS0061-C	False
QS0062-C	False
QS0063-C	False
QS0066-C	False
QS0067-C	False
QS0068-C	False
QS0069-C	False
QS0070-C	False
QS0071-C	False
QS0072-C	False
QS0073-C	False
QS0074-C	False
QS0075-C	False
QS0076-C	False
QS0077-C	False
QS0078-C	False
QS0079-C	False
QS0080-C	False
QS0081-C	False
QS0082-C	False
QS0084-C	False
QS0085-C	False
QS0086-C	False
QS0088-C	False
QS0089-C	False
QS0090-C	False
QS0091-C	False
QS0092-C	False
QS0093-C	False
QS0094-C	False
QS0095-C	False
QS0096-C	False
QS0097-C	False
QS0098-C	False
QS0099-C	False
QS0100-C	False
QS0102-C	False
QS0103-C	False
QS0105-C	False
QS0106-C	False
QS0107-C	False
QS0108-C	False
QS0111-C	False
QS0113-C	False
QS0114-C	False
QS0118-C	False
QS0119-C	False
QS0120-C	False
QS0121-C	False
QS0122-C	False
QS0123-C	False
QS0124-C	False
QS0125-C	False
QS0130-C	False
QS0137-C	False
QS0138-C	False
QS0140-C	False
QS0141-C	False
QS0143-C	False
QS0146-C	False
QS0149-C	False
QS0151-C	False
QS0152-C	False
QS0171-C	False
QS0172-C	False
QS0173-C	False
QS0176-C	False
QS0177-C	False
QS0178-C	False
QS0179-C	False
QS0180-C	False
QS0181-C	False
QS0184-C	False
QS0185-C	False
QS0186-C	False
QS0187-C	False
QS0188-C	False
QS0189-C	False
QS0190-C	False
QS0191-C	False
QS0192-C	False
QS0193-C	False
QS0196-C	False
QS0197-C	False
QS0200-C	False
QX0001-C	False
QX0002-C	False
QX0003-C	False
QX0004-C	False
QX0005-C	False
QX0006-C	False
QX0007-C	False
QX0008-C	False
QX0009-C	False
QX0010-C	False
QX0011-C	False
QX0012-C	False
QX0013-C	False
QX0014-C	False
QX0015-C	False
SGH-1-331	False
SGH_1_337	False
SGH_1_355	False
SGH_1_357	False
SGH_1_358	False
SGH_1_359	False
SGH_1_360	False
SGH_1_361	False
SGH_2_103	False
SGH_2_108	False
Salvador_1	False
Thailand_Pakchong_460	False
Thailand_VKBT_100	False
Thailand_VKBT_101	False
Thailand_VKBT_58	False
Thailand_VKBT_71	False
Thailand_VKBT_72	False
Thailand_VKBT_73	False
Thailand_VKBT_75	False
Thailand_VKBT_94	False
Thailand_VKBT_95	False
Thailand_VKBT_98	False
Thailand_VKBT_99	False
Thailand_VKPR_11	False
Thailand_VKTS_36	False
Thailand_VKTS_37	False
Thailand_VKTS_38	False
Thailand_VKTS_39	False
Thailand_VKTS_45	False
Thailand_VKTS_46	False
Thailand_VKTS_52	False
Thailand__VKBT_106	False
VVX00848	False
VVX00853	False
VVX00855	False
VVX00857	False
VVX00863	False
VVX00864	False
VVX00869	False
VVX00895	False
VVX00897	False
VVX00912	False
VVX00943	False
VVX00948	False
VVX00949	False
VVX00951	False
VVX00953	False
VVX00954	False
VVX00955	False
VVX00958	False
VVX00959	False
VVX00960	False
VVX00961	False
VVX00962	False
VVX00963	False
VVX00964	False
VVX00969	False
VVX00971	False
VVX00972	False
VVX00973	False
VVX00974	False
VVX00975	False
VVX00976	False
VVX00977	False
VVX00978	False
VVX00979	False
VVX00980	False
VVX00981	False
VVX00982	False
VVX00983	False
VVX00984	False
VVX00986	False
VVX00987	False
VVX00988	False
VVX00989	False
VVX00990	False
VVX00991	False
VVX00992	False
VVX00993	False
VVX00994	False
VVX00995	False
VVX00996	False
VVX00997	False
VVX00998	False
VVX00999	False
VVX01000	False
VVX01001	False
VVX01002	False
VVX01008	False
VVX01012	False
VVX01019	False
VVX01021	False
VVX01023	False
VVX01024	False
VVX01026	False
VVX01027	False
VVX01028	False
VVX01030	False
VVX01032	False
VVX01035	False
VVX01038	False
VVX01040	False
VVX01053	False
VVX01054	False
VVX01055	False
VVX01056	False
VVX01057	False
