Sample	Fws
IVC10-OM-0322	0.21946877
IVC10-OM-0325	0.9976132
IVC10-OM-0339	0.76339394
IVC10-OM-0342	0.9980099
IVC10-OM-0345	0.6813038
IVC11-KP-0014	0.99755925
IVC11-KP-0017	0.52438056
IVC11-KP-0034	0.99620616
IVC11-KP-0053	0.54040724
IVC11-OM-0346	0.75310683
IVC11-OM-0354	0.55109227
IVC11-OM-0355	0.42682159999999997
IVC12-KP-0063	0.5440254
IVC12-KP-0067	0.36315159999999996
IVC12-KP-0068	0.7055296999999999
IVC12-KP-0070	0.9342064
IVC12-KP-0076	0.96205664
IndiaNYC	0.58256984
IndiaVII	0.9950991
JHC_1_208	0.5799043
JHC_2_100	0.9932156999999999
JHC_2_216	0.9354264999999999
MICH_1_72	0.9918117000000001
MICH_2_71	0.9931114
Mexico_0202	0.9981629000000001
Mexico_11402	0.9992437
Mexico_1203	0.97173727
Mexico_12400	0.99870193
Mexico_1302	0.99903935
Mexico_13107	0.9972174000000001
Mexico_1504	0.99335885
Mexico_15302	0.99751484
Mexico_15502	0.99729586
Mexico_1905	0.9970039
Mexico_2003	0.9975921999999998
Mexico_2008	0.99907756
Mexico_2202	0.9973328000000001
Mexico_3902	0.9984903
Mexico_4304	0.99667627
Mexico_5002	0.997669
Mexico_7401	0.9981848
Mexico_7503	0.91846794
Mexico_8301	0.9969628
Mexico_8302	0.997267
Nicaragua_462	0.97527146
PD0165-C	0.89548784
PD0166-C	0.90034705
PD0167-C	0.99886346
PD0168-C	0.9977068000000001
PD0169-C	0.9961029
PD0170-C	0.5159789
PD0171-C	0.99587077
PD0172-C	0.9980072
PD0174-C	0.55613315
PD0175-C	0.998548
PD0176-C	0.4319159000000001
PD0177-C	0.9980562
PD0178-C	0.97752297
PD0179-C	0.99562865
PD0180-C	0.8626469999999999
PD0181-C	0.99740803
PD0182-C	0.9068476000000001
PD0183-C	0.46073875
PD0184-C	0.7572082
PD0593-C	0.6336622
PD0594-C	0.9985226999999999
PD0595-C	0.6125951999999999
PD0596-C	0.5497265
PD0597-C	0.95465523
PD0598-C	0.9975035
PD0599-C	0.6991321
PD0600-C	0.9957488000000001
PD0601-C	0.9966451
PD0602-C	0.99728775
PD0603-C	0.8313265
PD0604-C	0.99531907
PD0605-C	0.8386816999999999
PD0606-C	0.9989399
